# Written from the plates themselves (site/images/calculus-made-easy) and the
# prose around each. They describe what is DRAWN, never the figure number,
# so they stand whatever plates.json settles about the printed labels.
aa	A square whose sides are each marked x.
ab	The same square grown by a strip of width dx along the top and another down the right-hand side, with a small square, dx each way, left over at the corner.
ac	The grown square labelled by area: x² in the middle, a strip x·dx along the top and another down the side, and the tiny corner square (dx)² at the top right.
ad	A right-angled triangle with base x, height y and an angle of 30° at the left; extending the base by dx and the height by dy adds a small similar triangle at the right.
ae	A ladder AB leaning against a wall, its foot A a distance x from the wall and its top B a height y up it, drawn again with the foot pulled a little farther out.
af	The curve y = 7x² plotted from x = −3 to 5, with dashed lines marking its height at each whole value of x.
ag	The straight line dy/dx = 14x, passing through the origin and going below the axis to the left of it, with dashed ordinates at each whole value of x.
ah	A curve PQR above the axes OX and OY; at the point Q a short step dx to the right and dy upward make a small triangle, with x and y bracketed on the axes.
ai	A rising curve with a small step dx across and dy up drawn at a point where the two steps are equal.
aj	A steeply rising line on which the step dy upward is much taller than the step dx across.
ak	A gently rising curve on which the step dy upward is only a small part of the step dx across.
al	A curve falling to the right; at Q the step dx to the right goes with a step dy downward, and x and y are bracketed on the axes.
am	A curve that turns more and more upward to the right, with the step dy growing larger at each of three places while dx stays the same.
an	A straight line rising from left to right, with equal little steps dx and dy drawn at three places along it.
ao	A curve that rises steeply at first and grows flatter to the right, over a staircase of steps whose rises get smaller and smaller.
ap	A curve that falls, flattens at the bottom of a trough and rises again, with the lowest ordinate marked y min. and small steps drawn on either side.
aq	A curve that rises to a peak and falls again, with the highest ordinate marked y max. and steps drawn up one side and down the other.
ar	A curve that rises all the way from left to right but is least steep in the middle, with small steps drawn at several points along it.
as	A curve that bulges out to the right like a nose and turns back at Q, where it stands upright; small steps dx and dy are drawn on its upper and lower parts.
at	A straight line crossing the y axis at a height b and rising at 45°, with equal steps dx and dy drawn at its foot.
au	A straight line starting at a height b on the y axis and rising gently to the right, with a dashed horizontal line at the same starting height.
av	A sloping line, magnified, rising 1 in 3 across a dashed rectangle divided into three equal parts, so that the run is three times the rise.
aw	A curve that is level at P on the y axis, a height b above the origin, and rises ever more steeply through Q and R, with small steps drawn at each.
ax	The curve y = ¼x² + 3 plotted from x = −3 to 5, with dashed lines at each whole value of x and braces at x = 5 dividing its height into the part b and the part ¼x².
ay	The straight line dy/dx = ½x through the origin, with dashed ordinates at each whole value of x.
az	A curve that rises to a sharp point and falls away again, with a dashed ordinate dropped from the point.
ba	A curve falling to its lowest value, 3, at x = 2 and rising again, with dashed lines to its heights at x = 1, 2, 3 and 4.
bb	A curve rising above the x axis to a peak between x = 1 and x = 2 and falling below it after x = 3, with dashed lines to its values at −1, 1, 2 and 4.
bc	A curve with a maximum at x = 1 and a minimum at x = 3, drawn with dashed lines on axes running from −1 to 5 across and −4 to 6 up.
bd	A circle of radius r with its centre C at the point x = a, y = b, the distances a, b, x and y bracketed along the axes.
be	Two branches of a curve meeting at the origin in a point: one rises steeply, the other climbs to a hump near x = 0.64 and comes back down to the axis at x = 1.
bf	A straight slope over a staircase of equal steps, every rise the same size.
bg	A curve whose slope grows steeper to the right, over a staircase whose rises get larger at each step.
bh	A curve that rises but grows flatter to the right, over a staircase whose rises get smaller at each step.
bi	A curve hollow upward with its lowest point marked M and y min.; arrows on either side show the slope turning from downward to upward.
bj	A curve arched upward with its highest point marked M and y max.; arrows on either side show the slope turning from upward to downward.
bk	From a height of 1 at P, ten equal steps rise in a straight line to a height of 2 at U, over ten equal divisions of the base from O to T.
bl	From a height of 1 at P, ten steps, each larger than the one before, rise along a curve to a height marked 2.7182 at U, over ten equal divisions of the base.
bm	The curve y = εˣ rising from 1 at x = 0, with dashed lines to its heights at x = 0.5, 1, 1.5 and 2.
bn	The same curve labelled x = logε y, with dashed lines running across from the heights y = 2 to 8.
bo	Ordinates rising in steps from a height b, each one six-fifths of the one before, along a curve over x = 0 to 6.
bp	The logarithms of those ordinates, rising by equal steps from log b, so that they lie on a straight line.
bq	A curve sinking from a height b, each ordinate three-quarters of the one before, over x = 0 to 6.
br	A circle with centre O and a radius at an angle θ to the horizontal; a small further angle dθ adds a little to the height y of the radius's end.
bs	The curve of y = sin θ over a whole turn from 0° to 360°, rising to 1 at 90° and falling to −1 at 270°.
bt	The curve of cos θ over a whole turn from 0° to 360°, starting at 1, falling to −1 at 180° and rising to 1 again.
bu	A line made of lengths 1, 1/2, 1/4 and 1/8 laid end to end, each half the one before.
bv	A straight line rising from a height b, built as a staircase of equal little steps.
bw	Ten identical little triangles in a row, each with the same base and the same height.
bx	The little triangles joined end to end into a sloping line from the origin, with the same line drawn again, dashed, starting at a height c.
by	A curve built from five little triangles whose slope increases steadily, joined at their corners to approximate a smooth curve up to P.
bz	The same curve built from bits half as long and twice as many, giving a closer approximation.
ca	A smooth curve starting at a height c on the y axis and rising to the right, with its height y and distance x bracketed.
cb	A curve AB with a piece PQ above the x axis; perpendiculars PM and QN bound the area beneath it, which is ruled in narrow upright strips, with x₁, x₂, y₁ and y₂ marked.
cc	One of the narrow strips on its own: a thin upright strip whose top slopes a little, with a dashed line across it.
cd	A triangle with base 12 along the x axis and height 4, cut into narrow strips by dashed lines.
ce	The line y = x/3 drawn on squared paper from the origin to x = 12, with steps outlined beneath it at x = 3, 6, 9 and 12 for counting the squares.
cf	The curve y = b/(x + a), falling from a height b/a at the y axis, with the area beneath it from 0 to x ruled in upright strips and the distance a marked to the left of the origin.
cg	A flat ring between an inner circle of radius r₁ and an outer circle of radius r₂, drawn from the same centre.
ch	The curve y = bε⁻ˣ falling from a height b, with the area beneath it from 0 to a ruled in upright strips.
ci	A curve of pressure p against volume v, with the area beneath it between v₁ and v₂ ruled in upright strips and the pressures p₁ and p₂ marked.
cj	A circle of radius R containing a thin dashed ring of radius r and breadth dr.
ck	The arch of a curve from O to N on the x axis, with its highest ordinate, at M, marked 1/4 and the area beneath it ruled in strips.
cl	Two lines OA and OB from the point O, a small angle dθ apart, the first at an angle θ to the line OX, with the short arc between their ends at a distance r.
cm	A circle centred on the origin with a thin upright slice of thickness dx at a distance x from the centre, its half-height marked y.
cn	A straight line rising from the origin over a length l, with the area beneath it ruled in upright strips and its height y marked at the end.
