page: 196

*à la Russe*, ahlahrU's

*âme*[s] *damnée*[s], ahmdAnā'[ ]

*amende*[s] *honorable*[s], AmAN'dOnOrah'bl[ ]

*à merveille*, ahmārRvā'Y

*amour*[s], ă'moor[z]

*amour-propre*, amoorR'prO'pr(e)

*ancien régime*, AN'syAN rĕzhē'm

*annexe*[s], ă'nĕks[ĭz]

*à outrance*, ah ōotrAN's

*apache*[s], apah'sh[ĭz]

*aperçu*[s], AparRsU'[ ]

*apéritif*[s], apĕ'rĭtēf[s]

*aplomb*, A'plAN

*appui*, Apwē'

*après*, Aprā'

*à propos*, ahpropō'

*are*[s], arR[ ]

*arête*[s], arā't[s]

*argot*, arRgō'

*arme blanche*, arm blANsh

*arrière-pensée*, arRyarR'pANsā'

*arrondissement*[s], ArANdē'smAN[ ]

*artiste*[s], artē'st[s]

*assignat*[s], ă'sĭgnăt[s]

*atelier*[s], A'tlyā[ ]

*attaché*[s], ată'shā[z]

*auberge*[s], ōbār'zh[ ]

*au courant*, ōkōorAN'

*au fait*, ōfā'

*au fond*, ōfAN'

*au grand sérieux*, ōgrAN'sĕrēEU

*au gratin*, ōgrAtIN'

*au naturel*, ōnătūrĕ'l

*au pied de la lettre*, ōpyā'dlahlĕ'tr(e)

*au revoir*, ōrevwarR'

*automobile*[s], awtomobē'l[z]

*baccara*(t), bă'karah

*baignoire*[s], bĕnwarR'[ ]

*ballade*[s], balah'd[z]

*ballet*[s], bă'lā[z]

*ballon*[s] *d'essai*, balAN'dĕsā'[ ]

*bandeau*[s], băndō'[z]

*banquette*[s], bANkĕ't[s]

*barège*, barā'zh

*baroque*, barō'k

*barrage*[s], bar'ĭj[ĭz]

*bas bleu*[s], bahblEU'[ ]

*basque*[s], bAsk[s]

*bas relief*[s], bă'srĭlēf[s]

*bastille*[s], băstē'l[z]

*batiste*, batē'st

*baton*[s], bă'tn[z]

*battue*[s], batōo'[z]

*beau*[x], bō[z]

*beau*[x] *idéal*[s], bō īdē'al[z]

*beau monde*, bōmaw'nd

*beaux esprits*, bōzĕsprē'

*beaux yeux*, bōzyEU'

*bêche-de-mer*, bāshdemār'

*béguinage*[s], bĕ'gēnahzh[ĭz]

*béguine*[s], bĕgē'n[z]

*beige*, bāzh

*bel esprit*, bĕlĕsprē'

*belle*[s], bĕl[z]

*belles-lettres*, bĕlĕ'tr(e)

*bête*[s] *noire*[s], bātnwarR'[ ]

*bêtise*[s], bātē'z[ ]

*bezique*, bĭzē'k (F *bésique*)

*bien entendu*, byIN'ANtANdU'

*bienséance*, byIN'sāAN's

*bijou*, bē'zhōō

*bijouterie*, bē'zhōōtrē'

*billet*[s]-*doux*, bĭlĭdōō'[z]

*bise*, bēz

*bisque*, bĭsk

*bizarrerie*, bĭzar'erē'

*blague*, blahg

*blancmange*[s], blamAN'zh[ĭz]

*blasé*[s], blah'zā[ ]

*bloc*, blŏk

*bonbon*[s], bAN'bAN[z]

*bonhomie*, bŏnomē'

*bonjour*, bANzhoor'

*bon*[s] *mot*[s], bANmō'[z]

*bonne*[s], bŏn[z]

*bonne bouche*, bŏnbōo'sh

*bonnes fortunes*, bŏnforRtŪ'n

*bonsoir*, bANswarR'

*bon ton*, bANtAN'

*bon*[s] *vivant*[s], bANvē'vAN[ ]

*borné*[s], borR'nā[ ]

*boudoir*[s], bōō'dwar[z]

*bougie*[s], bōō'zhē[z]

*bouillabaisse*, bōōlyahbā's

*bouilli*, bōō'lyē

*bouillon*, bōō'lyAN

*boulevard*[s], bōō'lvarR[ ]

*bouleversement*, bōōlvārRsmAN'

*bouquet*[s], bōōkā'[z]

*bourdon*[s], boor'dŏn[z]

*bourgeois*, boor'zhwah

*bourgeoisie*, boorzhwahzē'

*bourse*[s], boors[ĭz]

*brassard*[s], brasar'd[z]

*brevet*[s], brĕ'vĭt[s]

*bric-à-brac*, brĭ'kabrăk

*bricole*, brĭ'kl

*briquette*[s], brĭkĕ't[s]
