page: 197

*brochure*[s], brOshUR'[ ]

*brunette*[s], bro͞onĕ't[s]

*brusque*, bro͝osk

*buffet*[s], bU'fā[z]

*bulletin*[s], boo'lĭtĭn[z]

*bureau*[x], būrō'[z]

*bureau*[x] *de change*, būrō'deshAN'zh[ ]

*burnous*, bernō͞o's[ĭz]

*cabaret*[s], kA'barā[z]

*cabinet*[s], kă'bĭnā[z]

*cachalot*[s], kă'shalō[z]

*cache*[s], kAsh[ĭz]

*cachet*, kA'shā

*cachou*, kă'shō͞o

*cadet*, kA'dā

*cadre*[s], kah'der[z]

*café*[s], kă'fā[z]

*café*[s] *au lait*, kă'fāōlā'[ ]

*café*[s] *chantant*[s], kă'fā shAN'tAN[ ]

*café*[s] *noir*[s], kăfānwarR'[ ]

*caïque*[s], kah-ē'k[s]

*caisson*[s], kā'sn[z]

*calembour*[s], kA'lANboor[ ]

*calibre*[s], kă'lĭber[z]

*calorie*[s], kă'lorĭ[z]

*camaraderie*, kAmarahderē'

*camembert*, kă'mANbārR

*camisole*[s], kă'misōl[z]

*camouflage*, kă'mō͞oflahzh

*canaille*, kanah'Y

*canapé*[s], kă'napā[ ]

*canard*[s], kanar'd[z]

*cancan*, kAN'kAN

*cangue*, kăngg

*cantatrice*[s], kANtahtrē's[ ]

*caoutchouc*, kow'chō͞ok

*cap-à-pie*, kăpapē'

*caporal*, kă'porahl

*capote*[s], kapō't[s]

*carafe*[s], karah'f[s]

*carillon*[s], kA'rēlyAN[ ]

*Carmagnole*, kar'manyōl

*carte blanche*, kartblAN'sh

*carte*[s]-*de-visite*, kart devĭzē't[ ]

*cartouche*[s], kartō͞o'sh[ĭz]

*caserne*[s], kazer'n[z]

*casque*[s], kăsk[s]

*casserole*[s], kă'serōl[z]

*catafalque*[s], kă'tăfălk[s]

*cause*[s] *célèbre*[s], kōz sĕlā'br(e)[ ]

*causerie*[s], kōzerē'[ ]

*causeuse*[s], kōzEU'z[ ]

*céleste*, sĭlĕ'st

*centime*[s], sANtē'm[z]

*cerise*, serē'z

*chalet*[s], shA'lā[z]

*chamade*[s], shamah'd[z]

*chamois*[ ], shă'mwah[ ]

*champagne*, shămpā'n

*Champs Élysées*, shANzēlēzā'

*chancre*[s], shANkr(e)[ ]

*chantage*, shAN'tahzh

*chanterelle*[s], shANterĕ'l[z]

*chapeau-bras*, shapō'brah'

*chaperon*[s], shă'peron[z]

*char*[s]-*à-bancs*, shă'răbăng[z]

*charade*[s], sharah'd[z]

*chargé*[s]-*d'affaires*, sharzhādAfār'[ ]

*charivari*, shar'ĭvarĭ

*charlatan*[s], shar'latan[z]

*charlotte russe*, sharlotrU's

*chartreuse*, shartrEU'z

*chasse*, shAs

*chassé*[s], shă'sā[z]

*chassepot*[s], shă'spō[z]

*châssis*[ ], shă'sē[ ]

*château*[x], shAtō'[z]

*châtelaine*[s], shă'telān[z]

*chauffeur*[s], shōfer'[z]

*chaussure*, shōsUR'

*chef*[s], shĕf[s]

*chef*[s]-*d'œuvre*, shĕdEU'vr(e)[ ]

*chemisette*[s], shĕmĭzĕ't[s]

*chenille*, shĭnē'l

*chevalier*[s]-*d'industrie*, shevA'lyādINdUstrē'[ ]

*chevaux-de-frise*, shevō'defrē'z

*chevelure*, shevelUR'

*chevron*[s], shĕ'vron[z]

*chic*, shēk

*chiffon*, shō'fAN

*chignon*[s], shē'nyAN[z]

*chose*[s] *jugée*[s], shōz zhUzhā'[ ]

*chou*[x], sho͞o[ ]

*chronique scandaleuse*, krOnē'k skANdahlEU'z

*chute*[s], sho͞ot[s]

*ci-devant*, sēdvAN'

*cirque*, serk

*clairvoyance*, klārvoi'ans

*clairvoyant*[s], klārvoi'ant[s]

*claque*[s], klahk[s]

*claqueur*[s], klAkEUR'[ ]

*cliché*[s], klē'shā[z]

*clientèle*, klientē'l

*clique*[s], klēk[s]

*cloisonné*, klwah'zonā

*cognac*, kō'nyăk
