page: 198

*coiffeur*[s], kwahfEUR'[z]

*coiffure*[s], kwahfUR'

*colporteur*[s], kŏlportEUR'[z]

*comédienne*[s], komēdĭĕ'n[z]

*commandant*[s], kŏmandă'nt[s]

*comme il faut*, kŏmēlfō'

*commissionnaire*[s], komĭshonār'[z]

*commode*[s], komō'd[z]

*communiqué*[s], komU'nĭkā[z]

*compote*, kŏ'mpōt

*concessionnaire*[s], konsĕshonār[z]

*concierge*[s], kANsyārR'zh[ ]

*concordat*[s], konkor'dăt[s]

*confrère*[s], kAN'frār[z]

*congé*[s], kAN'zhā[z]

*connoisseur*[s], kŏnaser'[z]

*conservatoire*[s], konser'vatwar[z]

*consommé*, kANsOmā'

*contour*[s], kŏ'ntoor[z]

*contretemps*[ ], kAN'tretAN[z]

*convenances*, kAN'venANs

*cordelier*[s], kordelēr'[z]

*cordon*[s], kor'don[z]

*cordon*[s] *bleu*[s], korR'dAN blEU[ ]

*corps*[ ], kōr[z]

*corsage*, kor'sahzh

*corset*[s], kor'sĭt[s]

*cortège*[s], korRtā'zh[ ]

*corvée*, kor'vā

*cosaque*[s], kosah'k[s]

*costumier*[s], kOstUmyā'[ ]

*cotillon*[s], kotĭ'lyon[z]

*couleur de rose*, ko͞oler'derō'z

*coulisses*, ko͞olē's

*couloir*[s], ko͞o'lwar[z]

*coulomb*[s], ko͞o'lŏm[z]

*coup*[s], ko͞o[z]

*coup*[s]-*d'état*, ko͞odĕtah'[z]

*coup-de-grâce*, ko͞odegrah's

*coup*[s]-*de-main*, ko͞odemIN'[ ]

*coup*[s]-*de-théâtre*, ko͞odetāah'tr(e)[ ]

*coup-d'œil*, ko͞odEU'Y

*coupé*[s], ko͞o'pā[z]

*coupon*[s], ko͞o'pŏn[z]

*coûte que coûte*, ko͞otkeko͞o't

*crampon*[s], kră'mpŏn[z]

*crayon*[s], krāon[z]

*crèche*[s], krāsh[ĭz]

*crême*, krām

*crême de la crême*, krām dlah krā'm

*crême de menthe*, krāmdemAN't

*crêpe*, krāp

*crêpe de Chine*, krāpdeshē'n

*crépon*, krĕ'pŏn

*crétin*[s], krē'tĭn[z]

*cretonne*, kretŏ'n

*critique*[s], krĭtē'k[s]

*croquette*[s], krokĕ't[s]

*crosse*[s], krŏs[ĭz]

*croupier*[s], kro͞o'pĭer[z]

*cuirassier*[s], kūrasēr'[z]

*cuisine*, kwĭzē'n

*cul*[s]-*de-sac*, kUdesA'k[ ]

*curé*[s], kU'rā[z]

*daguerréotype*[s], dagĕ'rotīp[s]

*dais*[ ], dās[ĭz]

*dartre*, dar'ter

*débâcle*[s], dĭbah'kl[z]

*débris*, dĕ'brē

*début*[s], dĕ'bU[z]

*débutant*[s], dĕ'būtant[s]

*débutante*[s], dĕbUtAN't[ ]

*décigramme*[s], dĕ'sĭgrăm[z]

*décilitre*[s], dĕ'sĭlēter[z]

*décimètre*[s], dĕ'sĭmēter[z]

*déclassé(e)*[s], dĕklAsā'[ ]

*décolleté(e)*[s], dĕkŏ'ltā

*dégagé(e)*[s], dĕ'gAzhā

*de haut en bas*, deō'ANbah'

*déjeuner*[s], dĕ'zhEUnā[z]

*delaine*, dĭlā'n

*démarche*[s], dĕmarR'sh[ ]

*démenti*[s], dĕmANtē'[ ]

*demi-monde*, dĕ'mĭmŏnd

*demi-mondaine*[s], dmēmANdā'n[ ]

*demoiselle*[s], dĕmwahzĕ'l[z]

*dénouement*[s], dĕ'no͞omAN[z]

*de nouveau*, de no͞ovō'

*dépôt*[s], dĕ'pō[z]

*de règle*, derā'gl

*de rigueur*, derēgEUR'

*dernier ressort*, dārR'nyā rĕsorR'

*déshabillé*, dĕzA'bēyā'

*détente*[s], dĕtAN't[ ]

*détour*[s], dĭtoor'[z]

*de trop*, detrō'

*devoir*[s], dĕ'vwar[z]

*diablerie*, dyahblerē'

*difficile*, dĭfĭsē'l

*diplomat*[s], dĭ'plomăt[s]

*dishabille*, dĭsabē'l

*distingué(e)*[s], dĭstIN'gā[ ]

*distrait*[s], distrā'[ ]

*distraite*[s], dĭstrā't[ ]

*dormeuse*[s], dorRmEU'z[ ]

*dossier*[s], dŏ'syer[z]

*dot*, dOt

*douane*[s], do͞o'ahn[z]

*double entendre*, do͞oblANtAN'dr(e)

*double entente*, do͞oblANtAN't
