page: 199

*doublure*[s], do͞oblUR'[z]

*douceur*[s], do͞osEUR'[z]

*douche*[s], do͞osh[ĭz]

*doyen*[s], dwah'yAN[ ]

*droit*[s], droit[s]

*duvet*[s], dU'vā[z]

*eau sucrée*, ō'sUkrā'

*éclair*[s], ĕ'klār[z]

*éclaircissement*[s], ĕklārsē'smAN[ ]

*éclat*, ĕklah'

*élan*, ĕ'lAN

*élite*, ĕlē't

*Élysée*, ĕlēzā'

*embarras de choix*, ANbArah' de shwah'

*embarras de richesse*, ANbArah' de rēshĕ's

*embonpoint*, AN'bANpwIN

*émeute*[s], ĕmEU't[ ]

*employé(e)*[s], ĕ'mploiē'[z]

*empressement*, ANprĕsmAN'

*en casserole*, ANkAserO'l

*en famille*, ANfAmē'Y

*en fête*, ANfā't

*en garçon*, ANgarRsAN'

*ennui*, ŏnwē'

*en masse*, ANmA's

*en passant*, ANpAsAN'

*en rapport*, ANrAporR'

*en route*, ANro͞o't

*ensemble*, ANsAN'bl(e)

*entente*[s], ANtAN't[ ]

*entourage*, ANto͞orah'zh

*entr'acte*[s], ANtrA'kt[ ]

*entrée*[s], AN'trā[z]

*entremets*, AN'tremā

*entre nous*, ANtreno͞o'

*entrepôt*[s], AN'trepō[z]

*espièglerie*, ĕspyā'glerē'

*esprit de corps*, ĕsprē'dekōr

*esprit d'escalier*, ĕsprē'dĕscAlyā'

*estaminet*[s], ĕstă'mĭnā[z]

*exposé*[s], ĕkspō'sā[z]

*fainéant*[s], fānāAN'[ ]

*fait accompli*, fĕtAcANplē'

*farceur*[s], farsEUR'[ ]

*fauteuil*[s], fōtEU'Y[ ]

*faux pas*, fōpah'

*femme de chambre*, fA'mdeshAN'br(e)

*feuilleton*[s], fEUY'tAN[ ]

*fiancé(e)*[s], fyAN'sā[ ]

*fille de chambre*, fēY'deshAN'br(e)

*fille*[s] *de joie*, fēY'dezhwah'

*fils*, fēs

*fine champagne*, fē'nshANpah'nY

*flair*, flār

*flânerie*, flahnerē'

*flâneur*[s], flahnEUR'[z]

*flèche*[s], flāsh[ĭz]

*force majeure*, forR'smahzhEUR'

*format*, for'mah

*foyer*[s], fwah'yā[z]

*franc*[s] *tireur*[s], frANtērEUR'

*frappant*, fră'pant

*friseur*[s], frēzEUR'[z]

*galimatias*, gălĭmă'tĭah

*gamin*[s], gA'mIN[z]

*garage*[s], gă'rĭj[ĭz]

*garçon*[s], garRsAN'[ ]

*gauche*, gōsh

*gaucherie*, gōsherē'

*gendarme*[s], zhANdar'm[z]

*gendarmerie*, zhANdar'merē'

*genre*, zhAN're

*glacé(e)*[s], glA'sā

*glacis*, glā'sĭs

*gobe-mouches* [pl. same], gOb'mo͞osh[ĭz]

*gourmandise*, goor'mandēz

*gourmand*[s], goor'mAN[z]

*gourmet*[s], goor'mā[z]

*grande passion*, graw'ndpAsyAN'

*grande toilette*, graw'ndtwahlĕ't

*grand*[s] *seigneur*[s], grAN'sānyEUR'[ ]

*gratin*, grA'tIN

*grippe*, grēp

*grisaille*, grĭzā'l

*grisette*[s], grēzĕ't[s]

*gros de Naples*, grōdenah'pl(e)

*gruyère*, grUyārR'

*guerre de course*, gārdekoor's

*guilloche*, gĭlō'sh

*guipure*, gēpoor'

*habitué*[s], Abē'tUā

*hauteur*, ōtEUR'

*hors concours*, orR'kANkoorR'

*hors-d'œuvre*, orRdEU'vr(e)

*idée fixe*, ēdā'fē'ks

*impasse*, INpA's

*impayable*, INpāyah'bl(e)

*ingénue*[s], INzhĕnU'[ ]

*insouciance*, INso͞osyAN's

*insouciant*, INso͞osyAN'

*instantané*, INstANtAnā'

*internationale*, INtārRnAsĭonah'l

*intriguant*[s], INtrēgAN'[ ]

*intrigante*[s], INtrēgANt'

*jabot*[s], zhAbō'[z]
