page: 200

jacquerie[s], zhAkerē'

jalousie[s], zhA'lo͞ozē[z]

jardinière[s], zhar'dĭnya͞r[z]

je ne sais quoi, zhensākwah'

jeu[x] de mots, zhEUdemō'[ ]

jeu[x] d'esprit, zhEUdĕsprē'[ ]

jeunesse dorée, zhEUnĕ'sdOrā'

jongleur[s], zhANglEUR'[ ]

julienne, zhUlyĕ'n

jupe[s], zhUp[ ]

képi[s], kĕ'pē[z]

lacrosse, lahkrŏ's

laissez aller, lĕ'sā A'lā

laissez faire, lĕ'sāfa͞r'

lansquenet, lă'nskenĕt

layette[s], lāĕ't[s]

lèse-majesté, lā'zmAzhĕstā'

lever de rideau, levā'derēdō'

liaison[s], lĭā'zn[z]

lingerie, lINzhrē'

liqueur, lĭkūr'

littérateur[s], lĭtĕ'rahtEUR'

livre[s], lē'vr(e)

longue haleine, lOnggAlā'n

lorgnette[s], lornyĕ't[s]

louis[ ], lo͞o'ĭ[z]

luge[s], lUzh[ĭz]

luxe, lUks

lycée[s], lēsā'[z]

macabre, makah'br(e)

macédoine[s], măsĭdwah'n[z]

madame, mAdA'm

mademoiselle, mA'dmwahzĕ'l

malaise, malā'z

mal à propos, mA'lahpropō'

manège, manā'zh

mange-tout, mANzhto͞o'

manqué(e)[s], mAN'kā

marguerite[s], margerē't[s]

mariage de convenance, mAryah'zhdekANvenAN's

marquise[s], marRkē'z[ ]

marron[s] glacé[s], mă'rANglA'sā[ ]

Marseillaise, marselā'z

massage, masah'zh

massé, mă'sā

masseur[s], mAsEUR[ ]

masseuse[s], mAsEU'z

matériel, matĕrĭĕ'l

matinée[s], mă'tīnā[z]

mauvais quart-d'heure, mōvā'karRdEUR'

mauvais sujet[s], mōvā'sUzhā'[ ]

mauvaise honte, mōvā'zaw'nt

mayonnaise, māonā'z

mélange, mĕlAN'zh

mêlée[s], mĕ'lā[z]

ménage[s], mĕ'nahzh[ ]

menu[s], mĕ'no͞o[z]

meringue[s], meră'ng[z]

mésalliance[s], mĕzălēAN's

mesdames, mādA'm

messieurs, mĕsyEU'

métayage, mĕ'tāahzh

métayer, mĭtā'er

métier, mĕ'tyā

mignon, mē'nyAN

migraine[s], mē'grān[z]

milor(d)[s], mēlorR'

mise-en-scène, mē'zANsā'n

mistral[s], mĭ'strahl[z]

mitrailleuse[s], mētrahyEU'z[ ]

modiste[s], mOdē'st[s]

moire, mwarR

moiré, mwah'rā

moire antique, mwarANtē'k

monde, mawnd

monseigneur, mANsānyEUR'

monsieur, mesyEU'

moral, morah'l

morceau[x], morsō'[z]

morgue, morg

morgue anglaise, morRgANglā'z

motif[s], mōtē'f[s]

moulin[s], mo͞o'lIN[z]

mousseline, mo͞oslē'n

musette[s], mUzĕ't[s]

naif, nah-ē'f

naive, nah-ē'v

naïveté, nah-ē'vtā

née, nā

négligé[s], nĕ'glizhā[z]

névé, nĕ'vā

noblesse, nōblĕ's

noblesse oblige, nOblĕ's Oblē'zh

noisette[s], nwahzĕ't[s]

nom de guerre, nANdega͞rR'

nom de plume, nANdeplU'm

non avenu, nOnAvenU'

nonchalant, nŏ'nshalant

nonpareil, nŏnparĕ'l

Notre-Dame, nOtredah'm

noyau, nwahyō'

nuance[s], nU'ANs[ ]

numéro, nū'merō

ogive[s], ojī'v[z]

on dit, ANdē'

opéra comique, ŏ'perakomē'k

opéra bouffe, ŏ'perabo͞o'f

outré, o͞o'trā
