page: 201

paillasse, pălĭă's

paletot[s], pA'ltō[z]

panache, panah'sh

papier mâché, păpyāmă'shā

par excellence, parĕkselAN's

par exemple, parĕkzAN'pl(e)

pari mutuel, par'ēmUtUĕ'l

parole[s], parō'l[z]

parterre[s], parta͞r'[z]

parti[s], parRtē'[ ]

parvenu[s], par'venU[z]

pas de deux, pah'dedEU'

pas seul, pahsEU'l

passé(e)[s], pA'sā

passementerie, pAsmANtrē'

passe-partout, pAsparRto͞o'

pastiche, păstē'sh

pastille[s], păstē'l[z]

pâté de foie gras, pă'tādefwahgrah'

patois, pă'twah

pavé[s], pAvā'[ ]

paysage[s], pāēzah'zh

peignoir[s], pānwar'[z]

peine forte et dure, pān forRt ā dUR

pèlerine[s], pĕ'lerēn[z]

penchant[s], pAN'shAN

pension[s], pAN'syAN[z]

perdu(e)[s], perdū'[ ]

père, pa͞r

perron[s], pĕ'rAN[z]

persiennes, persĭĕ'nz

persiflage, pa͞r'sĭflahzh

personnel, personĕ'l

petite, petē't

petits chevaux, petē'shevō'

petit[s] maître[s], petē'mā'tr(e)[ ]

petit[s] souper[s], petē'so͞opā'

petits soins, petēswIN'

petit[s] verre[s], petē'va͞rR'

pétroleur[s], pĕtrŏlEUR'[ ]

pétroleuse[s], pĕtrŏlEU'z[ ]

picot[s], pē'kō[z]

pièce de résistance, pyā'sderĕzēstAN's

pied à terre, pyā'dahta͞rR'

pierrette[s], pyā͞rĕ't[s]

pierrot[s], pyā͞r'ō[z]

pince-nez, pIN'snā

piolet[s], pē'olā[z]

piquant, pē'kant

piqué, pē'kā

pis aller, pēzAlā'

plafond, plA'fAN

planchette, plANshĕ't

plaque[s], plahk[s]

plat[s], plah[ ]

plateau[x], plAtō'[z]

point d'appui, pwIN'dApwē'

poisson[s], pwah'sAN[ ]

pompon[s], pAN'pAN

ponceau, pANsō'

porte-cochère, porR'tkŏsha͞rR'

porte-crayon, portkrā'on

portière[s], por'tya͞r[z]

poseur[s], pOzEUR'[ ]

poste restante, pŏ'strĕstAN't

potage, pOtah'zh

pot-pourri, pōpo͞orē'

pouf, po͞of

poult-de-soie, po͞o'deswah'

pourboire, poorRbwarR'

pourparler[s], poorRparRlā'

pour rire, poor re͞rR

poussette[s], po͞osĕ't[ ]

pratique, pră'tik

précis[ ], prĕ'sē[z]

première[s], premya͞r'[z]

prestige, prĕstē'zh

preux chevalier[s], prEUshevA'lyā

prie-dieu[ ], prēdyEU'[z]

primeur, prēmEUR'

procès-verbal, prO'sāva͞rRbA'l

prolétaire[s], prOlĕta͞rR'

protégé(e)[s], prO'tĕzhā[z]

provenance, prŏ'vĭnans

prud'homme, prUdO'm

purée[s], pU'rā[z]

pur sang, pURsAN'

Quai d'Orsay, kādorsā'

quand même, kANmā'm

quantité négligeable, kAN'tētā nĕglēzhA'bl(e)

quenelle[s], kenĕ'l[z]

quinte, kINt

qui vive, kēvē'v

raconteur[s], rAkANtEUR'

ragoût[s], rago͞o'[z]

raison d'être, rā'zANdā'tr(e)

râle, rahl

ramequin[s], ră'mĭkĭn[z]

ranz des vaches, rANzdāvA'sh

rapport, rAporR'

rapprochement, rAprO'shmAN

razzia[s], ră'zya[z]

Réaumur, rā'ōmUR

réchauffé[s], rĕ'shōfā'[z]

recherché, resha͞r'shā

réclame, rĕ'klahm

reconnaissance, rĭkŏ'nĭsans

rédaction[s], rĕdA'ksēAN

redingote[s], rĕ'dĭnggōt[s]
