page: 202

réduit[s], rĕ'dwē[z]

reflet[s], reflā'[z]

régie, rĕ'zhē

régime, rĕzhē'm

relevé, re'lvā

renaissance, rĭnā'sans

rencontre, rĕngkŏ'nter

rendezvous[ ], rAN'dāvo͞o[z]

rente[s], rAN't[s]

rentier[s], rAN'tyā[ ]

répertoire[s], rĕ'pertwar[z]

répondez s'il vous plaît, rĕpAN'dā sēl vo͞o plā

repoussé, repo͞o'sā

restaurant[s], rĕ'storant[s]

restaurateur[s], restō'rAtEUR'[ ]

résumé[s], rĕ'zUmā[z]

retenue, retenU'

retroussé, rĭtro͞o'sā

reveille, rĭvĕ'lĭ

revenant[s], revnAN'[ ]

revers, reva͞rR'

revue[s], rĭvū'[z]

riant, rī'ant

ricochet[s], rĭ'koshā[z]

riposte[s], rĭpō'st[s]

risqué, rē'skā

rissole[s], rĭ'sōl[z]

rivière[s], rĭ'via͞r[z]

robe-de-chambre, rO'bdeshAN'br(e)

rocambole[s], rŏ'kambōl[z]

rococo, rokō'kō

roi fainéant, rwahfā'nāAN'

rôle[s], rōl[z]

rondeau[x], rŏndō'[z]

rondel[s], rŏndĕ'l[z]

roquefort, rO'kforR

rôti, rō'tē

roturier[s], rOtU'rēā

roué[s], ro͞o'ā[z]

Rouge Croix, ro͞ozhkrwah'

Rouge Dragon, ro͞ozhdră'gon

Rouge et Noir, ro͞ozhānwahR'

roulade[s], ro͞olah'd[z]

rouleau[x], ro͞olō'[z]

roulette, ro͞olĕ't

ruche, rUsh

ruse[s], ro͞oz[ĭz]

rusé(e)[s], rU'zā

sabot[s], sA'bō[z]

sabotage, să'botĭj

sabretache[s], să'bertăsh[ĭz]

sabreur[s], sAbrEUR'[ ]

sachet[s], sA'shā[z]

sacque[s], săk[s]

sacré, sAkrā'

salle-à-manger, sA'lahmAN'zhā

salle-d'attente, sA'ldAtAN't

salmi[s], să'lmē[z]

salon[s], sA'lAN[z]

sang-de-bœuf, sANdebEUF

sang-froid, sANfrwah'

sans cérémonie, sANsĕrĕ'mOnē'

sans-culotte[s], sANkUlO't[s]

sans-culotterie, sANkUlŏterē'

sans doute, sANdo͞o't

sans façon, sANfAsAN'

sans-gêne, sANzhā'n

sans peur et sans reproche, sANpEUR'āsANreprO'sh

sans phrase, sANfrah'z

sans-souci, sANso͞osē'

sauce piquante, sōspēkAN't

sauté, -ée, -és, -ées, sō'tā

sauve-qui-peut, sōvkēpEU'

savant[s], să'vAN[z]

savate, sAvah't

savoir-faire, sAvwarfa͞r'

savoir-vivre, sAvwarvē'vr(e)

scrutin d'arrondissement, skrU'tINdArAN'dēsmAN'

scrutin de liste, skrUtIN'delē'st

séance[s], sā'ANs[ ]

sec, sĕk

secrétaire[s], sĕkrĭta͞r'[z]

seigneur[s], sānyEUR'[z]

semé, sĕ'mā

sérac[s], sĕră'k[s]

serviette[s], servĭĕ't[s]

Sèvres, sā'vr(e)

silhouette[s], sĭlo͞oĕ't[s]

sobriquet[s], sō'brĭkā[z]

soi-disant, swahdē'zAN

soirée[s], swar'ā[z]

sortie[s], sorRtē'[z]

sou[s], so͞o[z]

soubrette[s], so͞obrĕ't[s]

soufflé[s], so͞o'flā[z]

soupçon, so͞o'psAN

sourdine, soordē'n

soutache, so͞o'tahsh

soutane[s], so͞otah'n[z]

souteneur[s], so͞otenEUR'[z]

souvenir[s], so͞ovene͞r'[z]

spirituelle, spĭrĭtūĕ'l

succès d'estime, sUksā'dĕstē'm

succès fou, sU'ksāfo͞o'

suède, swād

suivez, swē'vā

surtout[s], ser'to͞o[z]
