000.txt: Preface to the Fourth Edition (1943 words, 35 lines)
001.txt: Introductory: The Problem (3302 words, 46 lines)
002.txt: Book I, Chapter 1: The Current Doctrine of Wages — Its Insufficiency (3901 words, 74 lines)
003.txt: Book I, Chapter 2: The Meaning of the Terms (5953 words, 109 lines)
004.txt: Book I, Chapter 3: Wages Not Drawn from Capital, but Produced by the Labor (6906 words, 93 lines)
005.txt: Book I, Chapter 4: The Maintenance of Laborers Not Drawn from Capital (2897 words, 51 lines)
006.txt: Book I, Chapter 5: The Real Functions of Capital (2799 words, 54 lines)
007.txt: Book II, Chapter 1: The Malthusian Theory, Its Genesis and Support (3654 words, 59 lines)
008.txt: Book II, Chapter 2: Inferences from Facts (7823 words, 101 lines)
009.txt: Book II, Chapter 3: Inferences from Analogy (3440 words, 41 lines)
010.txt: Book II, Chapter 4: Disproof of the Malthusian Theory (3564 words, 45 lines)
011.txt: Book III, Chapter 1: The Inquiry Narrowed to the Laws of Distribution (3709 words, 77 lines)
012.txt: Book III, Chapter 2: Rent and the Law of Rent (2444 words, 43 lines)
013.txt: Book III, Chapter 3: Of Interest and the Cause of Interest (5452 words, 71 lines)
014.txt: Book III, Chapter 4: Of Spurious Capital and of Profits Often Mistaken for Interest (1929 words, 31 lines)
015.txt: Book III, Chapter 5: The Law of Interest (2754 words, 45 lines)
016.txt: Book III, Chapter 6: Wages and the Law of Wages (4188 words, 71 lines)
017.txt: Book III, Chapter 7: The Correlation and Coordination of These Laws (616 words, 37 lines)
018.txt: Book III, Chapter 8: The Statics of the Problem Thus Explained (1161 words, 33 lines)
019.txt: Book IV, Chapter 1: The Dynamics of the Problem Yet to Seek (596 words, 17 lines)
020.txt: Book IV, Chapter 2: The Effect of Increase of Population Upon the Distribution of Wealth (4473 words, 53 lines)
021.txt: Book IV, Chapter 3: The Effect of Improvements in the Arts Upon the Distribution of Wealth (3504 words, 57 lines)
022.txt: Book IV, Chapter 4: Effect of the Expectation Raised by Material Progress (1770 words, 35 lines)
023.txt: Book V, Chapter 1: The Primary Cause of Recurring Paroxysms of Industrial Depression (5792 words, 101 lines)
024.txt: Book V, Chapter 2: The Persistence of Poverty Amid Advancing Wealth (4711 words, 78 lines)
025.txt: Book VI, Chapter 1: Insufficiency of Remedies Currently Advocated (9284 words, 194 lines)
026.txt: Book VI, Chapter 2: The True Remedy (639 words, 32 lines)
027.txt: Book VII, Chapter 1: The Injustice of Private Property in Land (4484 words, 73 lines)
028.txt: Book VII, Chapter 2: The Enslavement of Laborers the Ultimate Result of Private Property in Land (3489 words, 47 lines)
029.txt: Book VII, Chapter 3: Claim of Land Owners to Compensation (3108 words, 53 lines)
030.txt: Book VII, Chapter 4: Private Property in Land Historically Considered (5242 words, 83 lines)
031.txt: Book VII, Chapter 5: Of Property in Land in the United States (3252 words, 43 lines)
032.txt: Book VIII, Chapter 1: Private Property in Land Inconsistent with the Best Use of Land (1790 words, 25 lines)
033.txt: Book VIII, Chapter 2: How Equal Rights to the Land May Be Asserted and Secured (1636 words, 55 lines)
034.txt: Book VIII, Chapter 3: The Proposition Tried by the Canons of Taxation (4028 words, 112 lines)
035.txt: Book VIII, Chapter 4: Endorsements and Objections (2534 words, 45 lines)
036.txt: Book IX, Chapter 1: Of the Effect Upon the Production of Wealth (2057 words, 35 lines)
037.txt: Book IX, Chapter 2: Of the Effect Upon Distribution and Thence Upon Production (2138 words, 41 lines)
038.txt: Book IX, Chapter 3: Of the Effect Upon Individuals and Classes (2075 words, 29 lines)
039.txt: Book IX, Chapter 4: Of the Changes That Would Be Wrought in Social Organization and Social Life (5952 words, 85 lines)
040.txt: Book X, Chapter 1: The Current Theory of Human Progress — Its Insufficiency (4293 words, 73 lines)
041.txt: Book X, Chapter 2: Differences in Civilization — To What Due (5146 words, 69 lines)
042.txt: Book X, Chapter 3: The Law of Human Progress (6412 words, 101 lines)
043.txt: Book X, Chapter 4: How Modern Civilization May Decline (5253 words, 79 lines)
044.txt: Book X, Chapter 5: The Central Truth (2837 words, 53 lines)
045.txt: Conclusion: The Problem of Individual Life (3260 words, 101 lines)
